1,-20,29,-31,16,-20,27
1,-43,1,-20,33,-45,2
1,-36,17,-6,38,-39,14
1,-30,15,-36,15,-28,23
1,-18,29,-19,28,-7,46
1,-30,19,-13,36,0,46
1,-26,24,-38,11,-43,11
1,-38,10,-48,3,-14,31
1,-8,41,-9,45,-43,9
1,-10,39,-10,35,-19,32
0,5,21,28,42,33,48
1,-15,38,-14,40,-19,35
0,-31,-20,5,22,-7,10
1,-19,27,-38,14,-2,44
0,-39,-29,-25,-6,-5,13
1,-15,33,-41,7,-19,29
0,-46,-35,23,39,39,48
1,-34,13,-4,41,-20,30
0,-26,-12,-24,-5,27,39
1,-38,16,-43,10,-10,44
1,39030,44441,-57340,-34903,-51001,-45918
1,-16916,-4407,66566,94089,15828,36189
1,40389,50968,27757,50078,45520,59567
1,52,17188,30746,49029,69338,83167
1,8979,24827,-49316,-32553,-69008,-49926
1,-52775,-23858,52208,67627,-1264,18587
1,-33325,-5132,45958,70760,46267,56578
1,-42535,-21394,-55593,-32080,-65133,-51935
1,1749,16247,23252,35648,72579,75405
1,3243,26696,-6805,9966,62726,89126
1,34445,60971,28535,54294,41201,66461
1,-60390,-40467,-9145,2334,-79017,-65419
1,19536,44698,-78529,-58639,-26591,-2743
1,-64983,-59435,37204,45832,-21323,-8109
1,-18254,13006,-85804,-67448,-5043,13222
1,24464,32132,48558,68460,37217,62520
1,-17139,-10612,-19845,-3378,-77537,-57882
1,63128,71168,638,22628,-57064,-32579
1,-58884,-26787,27216,32401,-66811,-59472
1,36497,46350,-33880,-21305,-67604,-45789
1,42798,71814,36207,61646,-12151,19686
1,-55625,-29373,-82609,-49685,-16861,2524
1,-70425,-44308,20211,33460,47801,72055
1,26463,42176,64489,76471,-18426,11307
1,-78556,-58072,-16997,4971,-34641,-18128
1,-58623,-40141,-55835,-42509,-46653,-22925
1,23300,41375,-75579,-50755,18777,52822
1,-82799,-60920,18318,41772,-24353,-5518
1,10106,26240,75368,78834,304,7531
1,46079,73686,49894,71872,7057,19259
1,-81301,-63868,-25735,-2511,1130,19046
1,27141,55106,20320,49740,-74571,-44379
1,38469,55562,-70078,-44434,-31742,1553
1,1417,27204,-90515,-53178,-41560,-22873
1,-18898,-6680,63448,97500,-11360,9193
1,-4654,19272,-84171,-70178,7893,12893
1,-41788,-26904,57763,62948,27359,39845
1,56892,76482,-29393,225,-57865,-40940
1,-1653,17579,78559,81298,2133,24653
1,31665,60531,-64402,-26646,47007,57640
1,14454,37042,-77500,-52117,32205,48279
1,-57102,-19683,-973,12460,-78522,-69140
1,33500,64982,45233,71019,-24872,10888
1,-24545,-2431,12207,36685,56701,84825
1,-73898,-40823,30235,40637,37337,48053
1,16711,35862,-75053,-53757,-45205,-39330
1,40041,62094,35279,55557,3924,28119
1,2591,27844,-77111,-61171,-42150,-24689
1,63851,87586,717,22608,-17708,14683
1,59776,65768,-38309,-516,30512,61778
1,27764,52076,48282,73996,34786,42408
1,-6770,29847,-69740,-50465,38985,60900
1,31444,39135,-32209,-8484,-72646,-56369
1,-71756,-38220,-60571,-46749,-40149,-37116
1,-44580,-14826,55547,79253,-43870,-13364
1,-72389,-55149,-27768,-3839,-70486,-37702
1,-52435,-20439,66678,77085,10575,29461
1,36706,63235,31858,52461,-40879,-24849
1,-74831,-52959,37404,69189,6622,22185
1,-6413,1462,-48386,-19347,-83322,-70763
1,-81857,-58552,-27629,-26033,-45105,-28564
1,-58671,-44911,-78607,-52567,-30993,-11513
1,-62873,-36200,49607,83092,-29998,-10433
1,-23969,-5107,-45673,-24154,56204,73025
1,-29554,-11201,-46583,-24400,-83575,-47182
1,30702,37050,36949,66718,-57136,-36552
1,-10148,10475,-5870,17463,-95526,-59913
1,-31448,-284,-48605,-24327,45815,82564
1,-84567,-61564,-2089,26015,4033,7133
1,-20326,-3284,-46016,-26462,54080,72758
1,41252,55684,-49807,-22386,-60941,-42418
1,62205,71265,-49762,-34225,-7877,12079
1,-89292,-72013,-31405,-14706,-20505,-2948
1,-41776,-20243,62722,70486,-30024,-1858
1,18228,32393,52030,71998,25205,59016
1,48369,72370,37060,54834,-38532,-8676
1,-55253,-28458,34161,57274,-72149,-39309
1,-72798,-51822,-30694,-2186,45952,57079
1,4729,43529,17089,31573,-85650,-72780
1,42217,74138,45655,63639,-36741,-10603
